feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
5.99.1.3: DNA topoisomerase (ATP-hydrolyzing)|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	0.974070015585975	-0.0614602574130574	0.215130462623662	9.96309850541906e-6	5.0567726470476e-4	9.96309850541906e-6	5.0567726470476e-4	NA	abundance	105	89
1.1.1.77: Lactaldehyde reductase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.26165662754089	-0.0614602574130574	0.274902725546363	1.12834027181597e-5	5.6400650053567e-4	1.12834027181597e-5	5.6400650053567e-4	NA	abundance	105	90
2.1.1.64: 3-demethylubiquinol 3-O-methyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.07617112702826	-0.0614602574130574	0.234906455073753	1.12963426974065e-5	5.6403392513891e-4	1.12963426974065e-5	5.6403392513891e-4	NA	abundance	105	78
4.2.3.4: 3-dehydroquinate synthase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.1404656249064	-0.0614602574130574	0.248918205463165	1.25412298712146e-5	6.123479579359e-4	1.25412298712146e-5	6.123479579359e-4	NA	abundance	105	81
1.17.7.3: (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.14376649132336	-0.0614602574130574	0.249823745882438	1.33418957918307e-5	6.4225292010812e-4	1.33418957918307e-5	6.4225292010812e-4	NA	abundance	105	79
1.18.1.2: Ferredoxin--NADP(+) reductase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.39867262084704	-0.0614602574130574	0.309682254654803	1.53772744386098e-5	7.140403956711e-4	1.53772744386098e-5	7.140403956711e-4	NA	abundance	105	90
2.1.2.3: Phosphoribosylaminoimidazolecarboxamide formyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	0.952668033923769	-0.0614602574130574	0.216205582726205	1.60729949998484e-5	7.4090155917842e-4	1.60729949998484e-5	7.4090155917842e-4	NA	abundance	105	89
3.5.4.10: IMP cyclohydrolase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	0.952668033923769	-0.0614602574130574	0.216205582726205	1.62456405143988e-5	7.4659056298535e-4	1.62456405143988e-5	7.4659056298535e-4	NA	abundance	105	89
6.3.3.1: Phosphoribosylformylglycinamidine cyclo-ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.09535930970315	-0.0614602574130574	0.249659027446282	1.91352892599403e-5	8.5857438698387e-4	1.91352892599403e-5	8.5857438698387e-4	NA	abundance	105	90
3.1.3.16: Protein-serine/threonine phosphatase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.29751855747555	-0.0614602574130574	0.291843922457457	1.94067414092853e-5	8.6972481535655e-4	1.94067414092853e-5	8.6972481535655e-4	NA	abundance	105	87
6.3.5.5: Carbamoyl-phosphate synthase (glutamine-hydrolyzing)|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.20440382611132	-0.0614602574130574	0.274068696607274	2.11635373839339e-5	9.3013468746636e-4	2.11635373839339e-5	9.3013468746636e-4	NA	abundance	105	88
2.7.7.41: Phosphatidate cytidylyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.20177969461699	-0.0614602574130574	0.272937261952479	2.14109387159374e-5	9.3684285109757e-4	2.14109387159374e-5	9.3684285109757e-4	NA	abundance	105	83
3.6.4.13: RNA helicase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.13601855136416	-0.0614602574130574	0.26061822888356	2.26592011275377e-5	9.8577274991332e-4	2.26592011275377e-5	9.8577274991332e-4	NA	abundance	105	89
4.2.3.3: Methylglyoxal synthase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.28011510374521	-0.0614602574130574	0.290010619371237	2.28012037037792e-5	9.9024609075038e-4	2.28012037037792e-5	9.9024609075038e-4	NA	abundance	105	89
5.6.2.2: NO_NAME|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	0.95522040010909	-0.0614602574130574	0.222261641912422	2.52505643080446e-5	0.00107870410723967	2.52505643080446e-5	0.00107870410723967	NA	abundance	105	89
2.1.1.207: tRNA (cytidine(34)-2'-O)-methyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.37744412412351	-0.0614602574130574	0.314274305780492	2.64349906854192e-5	0.00112046532906315	2.64349906854192e-5	0.00112046532906315	NA	abundance	105	75
